Institution,Collection type,Collection responsible(s),Collection,Basis of record,Collector,Fecha,Collecting date,Catalog Number,Another catalog number,Sex,Preparation,Status,Life stage,Specimen count,Last modification,Expedition,Cruise number,Vessel,Site station,Replicate,Collection method,Continent,Country,State/Province,County,Ocean,Sea/Gulf,River basin,Bay/Sound,Determinator(s),Validation date,Date identified,Type status,Vernacular name,Kingdom,Phylum,Class,Order,Family,Genus,Subgenus,Scientific name,Species authorship,Infraspecific epithet,Infra species authorship,Classify system,",,,,,,,,,,"
"Instituto de Ciencias del Mar y Limnologi, UNAM",Historicos,Luis Soto,Coleccion de Datos Historicos del Laboratorio de Ecologia del Bentos,Observacion humana,,1990,,ICML:DHLEB:OGMEX X.10.37.208,,,,,,3,,OGMEX X,10,B/O Justo Sierra,37,,Red de arrastre,America,Mexico,Tamaulipas,Soto la Marina,Atlantico,Golfo de Mexico,,,,,12/1/90,,"Botete xpí_,Actinopterigio,",Animalia,Chordata,Actinopterygii,Tetraodontiformes,Tetraodontidae,Sphoeroides,,Sphoeroides parvus,,,,,",,,,,,,,"
"Instituto de Ciencias del Mar y Limnologi, UNAM",Historicos,Luis Soto,Coleccion de Datos Historicos del Laboratorio de Ecologia del Bentos,Observacion humana,,1990,,ICML:DHLEB:OGMEX X.10.37.213,,,,,,7,,OGMEX X,10,B/O Justo Sierra,37,,Red de arrastre,America,Mexico,Tamaulipas,Soto la Marina,Atlantico,Golfo de Mexico,,,,,12/1/90,,"Actinopterigio,Cabrilla serrana,",Animalia,Chordata,Actinopterygii,Perciformes,Serranidae,Centropristis,,Centropristis philadelphica,,,,,",,,,,,,,"
"Instituto de Ciencias del Mar y Limnologi, UNAM",Historicos,Luis Soto,Coleccion de Datos Historicos del Laboratorio de Ecologia del Bentos,Observacion humana,,1990,,ICML:DHLEB:OGMEX X.10.37.228,,,,,,2,,OGMEX X,10,B/O Justo Sierra,37,,Red de arrastre,America,Mexico,Tamaulipas,Soto la Marina,Atlantico,Golfo de Mexico,,,,,12/1/90,,"Actinopterigio,Murcií©lago de lunares,",Animalia,Chordata,Actinopterygii,Lophiiformes,Ogcocephalidae,Ogcocephalus,,Ogcocephalus radiatus,,,,,",,,,,,,,"
"Instituto de Ciencias del Mar y Limnologi, UNAM",Historicos,Luis Soto,Coleccion de Datos Historicos del Laboratorio de Ecologia del Bentos,Observacion humana,,1990,,ICML:DHLEB:OGMEX X.10.37.281,,,,,,2,,OGMEX X,10,B/O Justo Sierra,37,,Red de arrastre,America,Mexico,Tamaulipas,Soto la Marina,Atlantico,Golfo de Mexico,,,,,12/1/90,,"Actinopterigio,Gurrubata,",Animalia,Chordata,Actinopterygii,Perciformes,Sciaenidae,Micropogonias,,Micropogonias undulatus,,,,,",,,,,,,,"
"Instituto de Ciencias del Mar y Limnologi, UNAM",Historicos,Luis Soto,Coleccion de Datos Historicos del Laboratorio de Ecologia del Bentos,Observacion humana,,1990,,ICML:DHLEB:OGMEX X.10.37.37,,,,,,30,,OGMEX X,10,B/O Justo Sierra,37,,Red de arrastre,America,Mexico,Tamaulipas,Soto la Marina,Atlantico,Golfo de Mexico,,,,,12/1/90,,"Ronco jení_guaro,Actinopterigio,",Animalia,Chordata,Actinopterygii,Perciformes,Haemulidae,Haemulon,,Haemulon aurolineatum,,,,,",,,,,,,,"
"Instituto de Ciencias del Mar y Limnologi, UNAM",Historicos,Luis Soto,Coleccion de Datos Historicos del Laboratorio de Ecologia del Bentos,Observacion humana,,1990,,ICML:DHLEB:OGMEX X.10.37.56,,,,,,3,,OGMEX X,10,B/O Justo Sierra,37,,Red de arrastre,America,Mexico,Tamaulipas,Soto la Marina,Atlantico,Golfo de Mexico,,,,,12/1/90,,"Actinopterigio,Huachinango del Golfo,",Animalia,Chordata,Actinopterygii,Perciformes,Lutjanidae,Lutjanus,,Lutjanus campechanus,,,,,",,,,,,,,"
"Instituto de Ciencias del Mar y Limnologi, UNAM",Historicos,Luis Soto,Coleccion de Datos Historicos del Laboratorio de Ecologia del Bentos,Observacion humana,,1990,,ICML:DHLEB:OGMEX X.10.37.618,,,,,,9,,OGMEX X,10,B/O Justo Sierra,37,,Red de arrastre,America,Mexico,Tamaulipas,Soto la Marina,Atlantico,Golfo de Mexico,,,,,12/1/90,,"Estrella de mar,Asteroideo,Equinodermo,",Animalia,Echinodermata,Asteroidea,,,,,,,,,,",,,,,,,"
"Instituto de Ciencias del Mar y Limnologi, UNAM",Historicos,Luis Soto,Coleccion de Datos Historicos del Laboratorio de Ecologia del Bentos,Observacion humana,,1990,,ICML:DHLEB:OGMEX X.10.37.621,,,,,,3,,OGMEX X,10,B/O Justo Sierra,37,,Red de arrastre,America,Mexico,Tamaulipas,Soto la Marina,Atlantico,Golfo de Mexico,,,,,12/1/90,,"Erizo de mar,Equinodermo,Equinoide,",Animalia,Echinodermata,Echinoidea,,,,,,,,,,",,,,,,,"
"Instituto de Ciencias del Mar y Limnologi, UNAM",Historicos,Luis Soto,Coleccion de Datos Historicos del Laboratorio de Ecologia del Bentos,Observacion humana,Pilar Peralta,1990,,ICML:DHLEB:OGMEX X.10.38.113,,,,,,8,,OGMEX X,10,B/O Justo Sierra,38,,Red de arrastre,America,Mexico,Tamaulipas,Soto la Marina,Atlantico,Golfo de Mexico,,,Pilar Peralta,,12/1/90,,"Actinopterigio,Chile apestoso,",Animalia,Chordata,Actinopterygii,Aulopiformes,Synodontidae,Synodus,,Synodus foetens,,,,,",,,,,,,,"
"Instituto de Ciencias del Mar y Limnologi, UNAM",Historicos,Luis Soto,Coleccion de Datos Historicos del Laboratorio de Ecologia del Bentos,Observacion humana,Pilar Peralta,1990,,ICML:DHLEB:OGMEX X.10.38.207,,,,,,19,,OGMEX X,10,B/O Justo Sierra,38,,Red de arrastre,America,Mexico,Tamaulipas,Soto la Marina,Atlantico,Golfo de Mexico,,,Pilar Peralta,,12/1/90,,"Chivo rayuelo,Actinopterigio,",Animalia,Chordata,Actinopterygii,Perciformes,Mullidae,Upeneus,,Upeneus parvus,,,,,",,,,,,,,"
