MMID,area_name,area_type,data_layer,uncertainty_score,year,scientific_name,common_name,functional_group,commercial_group,fishing_entity,fishing_sector,catch_type,reporting_status,tonnes,landed_value
485,Mexico (Pacific),eez,Reconstructed domestic catch,2,1992,Haliotis,Abalones,Other demersal invertebrates,Molluscs,Mexico,Artisanal,Landings,Unreported,469.84698,3385717.338
485,Mexico (Pacific),eez,Reconstructed domestic catch,2,1993,Haliotis,Abalones,Other demersal invertebrates,Molluscs,Mexico,Artisanal,Landings,Reported,2180,20428780
485,Mexico (Pacific),eez,Reconstructed domestic catch,2,1993,Haliotis,Abalones,Other demersal invertebrates,Molluscs,Mexico,Artisanal,Landings,Unreported,327,3064317
485,Mexico (Pacific),eez,Reconstructed domestic catch,2,1994,Haliotis,Abalones,Other demersal invertebrates,Molluscs,Mexico,Artisanal,Landings,Reported,1536,11950080
485,Mexico (Pacific),eez,Reconstructed domestic catch,2,1994,Haliotis,Abalones,Other demersal invertebrates,Molluscs,Mexico,Artisanal,Landings,Unreported,230.4,1792512
485,Mexico (Pacific),eez,Reconstructed domestic catch,2,1995,Haliotis,Abalones,Other demersal invertebrates,Molluscs,Mexico,Artisanal,Landings,Reported,1227,6197577
485,Mexico (Pacific),eez,Reconstructed domestic catch,2,1995,Haliotis,Abalones,Other demersal invertebrates,Molluscs,Mexico,Artisanal,Landings,Unreported,184.05,929636.55
485,Mexico (Pacific),eez,Reconstructed domestic catch,2,1996,Haliotis,Abalones,Other demersal invertebrates,Molluscs,Mexico,Artisanal,Landings,Reported,1075,4991225
485,Mexico (Pacific),eez,Reconstructed domestic catch,2,1996,Haliotis,Abalones,Other demersal invertebrates,Molluscs,Mexico,Artisanal,Landings,Unreported,161.25,748683.75
485,Mexico (Pacific),eez,Reconstructed domestic catch,2,1997,Haliotis,Abalones,Other demersal invertebrates,Molluscs,Mexico,Artisanal,Landings,Reported,924,1648416
485,Mexico (Pacific),eez,Reconstructed domestic catch,2,1997,Haliotis,Abalones,Other demersal invertebrates,Molluscs,Mexico,Artisanal,Landings,Unreported,138.6,247262.4
485,Mexico (Pacific),eez,Reconstructed domestic catch,2,1998,Haliotis,Abalones,Other demersal invertebrates,Molluscs,Mexico,Artisanal,Landings,Reported,709,1223025
