Entidad,Oficina,Mes,Origen,Nombre Comun,Peso Vivo (Kg.),Peso Desem. (Kg.),Valor (pesos),Año
BAJA CALIFORNIA,ENSENADA,Abril,CAPTURA,ALGA SE,"7,800.00","1,300.00","9,100.00",2012
BAJA CALIFORNIA,ENSENADA,Abril,CAPTURA,ALGA GELIDIUM,"31,889.40","6,889.40","47,526.74",2014
BAJA CALIFORNIA,ENSENADA,Abril,CAPTURA,ALGA SE,"2,674.46","2,674.46","24,324.47",2014
BAJA CALIFORNIA,ENSENADA,Abril,CAPTURA,ALGA GELIDIUM,"6,140.00","36,840.00","49,139.03",2008
BAJA CALIFORNIA,ENSENADA,Abril,CAPTURA,ALGA GELIDIUM,"3,300.00","3,300.00","23,100.00",2010
BAJA CALIFORNIA,ENSENADA,Abril,CAPTURA,ALGA GELIDIUM,"27,468.00","4,578.00","32,046.00",2011
BAJA CALIFORNIA,ISLA CEDROS,Abril,CAPTURA,ALGA GELIDIUM,"13,918.46","3,918.46","27,429.23",2013
BAJA CALIFORNIA,ISLA CEDROS,Abril,CAPTURA,ALGA GELIDIUM,"112,200.00","18,700.00","130,900.00",2009
BAJA CALIFORNIA,ISLA CEDROS,Abril,CAPTURA,ALGA GELIDIUM,"7,334.56","1,584.56","13,231.15",2014
BAJA CALIFORNIA,ISLA CEDROS,Abril,CAPTURA,ALGA GELIDIUM,"44,640.00","7,440.00","52,080.00",2012
BAJA CALIFORNIA,SAN FELIPE,Abril,CAPTURA,ALGA GELIDIUM,"2,000.00","12,000.00","16,006.20",2008
BAJA CALIFORNIA,SAN QUINTIN,Abril,CAPTURA,ALGA GIGARTINA,"80,000.00","20,000.00","120,000.00",2011
BAJA CALIFORNIA,SAN QUINTIN,Abril,CAPTURA,ALGA SE,"103,839.21","103,839.21","908,133.33",2013
BAJA CALIFORNIA,SAN QUINTIN,Abril,CAPTURA,ALGA ESPIRULINA,"7,800.00","7,800.00","23,400.00",2010
BAJA CALIFORNIA,SAN QUINTIN,Abril,CAPTURA,ALGA GELIDIUM,"42,552.00","7,092.00","49,644.00",2011
BAJA CALIFORNIA,SAN QUINTIN,Abril,CAPTURA,ALGA SE,"243,573.07","68,573.07","685,730.66",2013
BAJA CALIFORNIA,SAN QUINTIN,Abril,CAPTURA,ALGA GIGARTINA,"38,204.99","38,204.99","229,229.96",2013
BAJA CALIFORNIA,SAN QUINTIN,Abril,CAPTURA,ALGA GIGARTINA,"32,000.00","8,000.00","48,000.00",2012
BAJA CALIFORNIA,SAN QUINTIN,Abril,CAPTURA,ALGA GELIDIUM,"9,705.01","9,705.01","67,725.55",2014
BAJA CALIFORNIA,VILLA DE JESUS MARIA,Abril,CAPTURA,ALGA GELIDIUM,"12,000.00","72,000.00","96,037.20",2008
BAJA CALIFORNIA SUR,BAHIA TORTUGAS,Abril,CAPTURA,ALGA GELIDIUM,"65,772.00","15,082.00","115,554.00",2006
BAJA CALIFORNIA SUR,BAHIA TORTUGAS,Abril,CAPTURA,ALGA GELIDIUM,"51,378.67","13,128.67","95,139.07",2014
BAJA CALIFORNIA SUR,BAHIA TORTUGAS,Abril,CAPTURA,ALGA GELIDIUM,"57,498.00","9,583.00","68,964.00",2011
BAJA CALIFORNIA SUR,BAHIA TORTUGAS,Abril,CAPTURA,ALGA GELIDIUM,"154,086.00","25,681.00","164,977.06",2009
BAJA CALIFORNIA SUR,BAHIA TORTUGAS,Abril,CAPTURA,ALGA GELIDIUM,"47,952.00","7,992.00","56,736.00",2012
BAJA CALIFORNIA SUR,BAHIA TORTUGAS,Abril,CAPTURA,ALGA GELIDIUM,"115,464.00","19,244.00","136,585.60",2013
BAJA CALIFORNIA SUR,BAHIA TORTUGAS,Abril,CAPTURA,ALGA GELIDIUM,"13,048.00","13,048.00","172,812.00",2013
BAJA CALIFORNIA SUR,SANTA ROSALIA,Abril,CAPTURA,ALGA GELIDIUM,"11,214.00","67,284.00","54,948.60",2008
BAJA CALIFORNIA SUR,BAHIA ASUNCION,Abril,CAPTURA,ALGA GELIDIUM,"32,700.00","6,200.00","43,400.00",2011
