"","State/Province","Scientific name","County","Inicio","Fin","Titulo","Key","State"
"552","Sonora","Periglypta multicostata","Guaymas",NA,NA,"Especimen preservado de Periglypta multicostata en Sonora","Moluscos; Malacologia; Presencia; Guaymas","Guaymas"
"553","Veracruz de Ignacio de la Llave","Periploma (Periploma) margaritaceum","Veracruz",NA,NA,"Especimen preservado de Periploma (Periploma) margaritaceum en Veracruz de Ignacio de la Llave","Moluscos; Malacologia; Presencia; Veracruz","Veracruz"
"554","Sinaloa","Periploma (Periploma) planisculum","Mazatlán","1905","1905","Especimen preservado de Periploma (Periploma) planisculum en Sinaloa","Moluscos; Malacologia; Presencia; Mazatlán","Mazatlán"
"555","Oaxaca","Perna viridis","Salina Cruz","1961","1961","Especimen preservado de Perna viridis en Oaxaca","Moluscos; Malacologia; Presencia; Salina Cruz","Salina Cruz"
"556","Sonora","Petricolaria (Petricolaria) cognata","Guaymas","1905","1905","Especimen preservado de Petricolaria (Petricolaria) cognata en Sonora","Moluscos; Malacologia; Presencia; Guaymas","Guaymas"
"557","Veracruz de Ignacio de la Llave","Petricolaria (Petricolaria) pholadiformis","Alvarado",NA,NA,"Especimen preservado de Petricolaria (Petricolaria) pholadiformis en Veracruz de Ignacio de la Llave","Moluscos; Malacologia; Presencia; Alvarado","Alvarado"
"558","Veracruz de Ignacio de la Llave","Pholas (Thovana) campechiensis","Alvarado",NA,NA,"Especimen preservado de Pholas (Thovana) campechiensis en Veracruz de Ignacio de la Llave","Moluscos; Malacologia; Presencia; Alvarado","Alvarado"
"559","Veracruz de Ignacio de la Llave","Pholas (Thovana) campechiensis","Tuxpan",NA,NA,"Especimen preservado de Pholas (Thovana) campechiensis en Veracruz de Ignacio de la Llave","Moluscos; Malacologia; Presencia; Tuxpan","Tuxpan"
"560","Yucatán","Pholas (Thovana) campechiensis","Progreso",NA,NA,"Especimen preservado de Pholas (Thovana) campechiensis en Yucatán","Moluscos; Malacologia; Presencia; Progreso","Progreso"
"561","Sinaloa","Pholas (Thovana) chiloensis","Mazatlán",NA,NA,"Especimen preservado de Pholas (Thovana) chiloensis en Sinaloa","Moluscos; Malacologia; Presencia; Mazatlán","Mazatlán"
"562","Sonora","Pholas (Thovana) chiloensis","Guaymas","1905","1905","Especimen preservado de Pholas (Thovana) chiloensis en Sonora","Moluscos; Malacologia; Presencia; Guaymas","Guaymas"
"563","","Pinctada mazatlanica","",NA,NA,"Especimen preservado de Pinctada mazatlanica en ","Moluscos; Malacologia; Presencia; ",""
"564","Baja California Sur","Pinctada mazatlanica","Isla Espíritu Santo","1960","1960","Especimen preservado de Pinctada mazatlanica en Baja California Sur","Moluscos; Malacologia; Presencia; Isla Espíritu Santo","Isla Espíritu Santo"
"565","Baja California Sur","Pinctada mazatlanica","Isla Partida","1960","1960","Especimen preservado de Pinctada mazatlanica en Baja California Sur","Moluscos; Malacologia; Presencia; Isla Partida","Isla Partida"
