"","State/Province","Scientific name","County","Inicio","Fin","Titulo","Key"
"120","Campeche","Calamus penna","Sonda De Campeche Frente A La Laguna De Términos","1977","1977","Especimen preservado de Calamus penna en Campeche","Peces; Ictiologia; Presencia; Sonda De Campeche Frente A La Laguna De Términos"
"121","Campeche","Carangoides ruber","Las Playitas, Laguna De Términos","1978","1978","Especimen preservado de Carangoides ruber en Campeche","Peces; Ictiologia; Presencia; Las Playitas, Laguna De Términos"
"122","Campeche","Caranx crysos","Sonda De Campeche Frente A La Laguna De Términos","1980","1980","Especimen preservado de Caranx crysos en Campeche","Peces; Ictiologia; Presencia; Sonda De Campeche Frente A La Laguna De Términos"
"123","Campeche","Caranx hippos","Estero Pargo, Laguna De Términos","1976","1976","Especimen preservado de Caranx hippos en Campeche","Peces; Ictiologia; Presencia; Estero Pargo, Laguna De Términos"
"124","Campeche","Caranx latus","Sonda De Campeche Frente A La Laguna De Términos","1980","1980","Especimen preservado de Caranx latus en Campeche","Peces; Ictiologia; Presencia; Sonda De Campeche Frente A La Laguna De Términos"
"125","Campeche","Carcharhinus brachyurus","Sonda De Campeche Frente A La Laguna De Términos","1978","1978","Especimen preservado de Carcharhinus brachyurus en Campeche","Peces; Ictiologia; Presencia; Sonda De Campeche Frente A La Laguna De Términos"
"126","Campeche","Carcharhinus porosus","Bahía De Campeche","2004","2004","Especimen preservado de Carcharhinus porosus en Campeche","Peces; Ictiologia; Presencia; Bahía De Campeche"
"127","Campeche","Cathorops aguadulce","Laguna De Puerto Rico, Laguna De Términos","1977","1977","Especimen preservado de Cathorops aguadulce en Campeche","Peces; Ictiologia; Presencia; Laguna De Puerto Rico, Laguna De Términos"
"128","Campeche","Cathorops aguadulce","Punta Balchacah, Laguna De Términos","1977","1977","Especimen preservado de Cathorops aguadulce en Campeche","Peces; Ictiologia; Presencia; Punta Balchacah, Laguna De Términos"
"129","Campeche","Caulolatilus intermedius","Sonda De Campeche Frente A La Laguna De Términos","1980","1980","Especimen preservado de Caulolatilus intermedius en Campeche","Peces; Ictiologia; Presencia; Sonda De Campeche Frente A La Laguna De Términos"
"130","Campeche","Centropomus parallelus","Estero Pargo, Laguna De Términos","1976","1976","Especimen preservado de Centropomus parallelus en Campeche","Peces; Ictiologia; Presencia; Estero Pargo, Laguna De Términos"
"131","Campeche","Centropomus undecimalis","Boca De Atasta, Laguna De Términos","1979","1979","Especimen preservado de Centropomus undecimalis en Campeche","Peces; Ictiologia; Presencia; Boca De Atasta, Laguna De Términos"
"132","Campeche","Centropomus undecimalis","Estuario Río Campoton, Laguna De Términos","1974","1974","Especimen preservado de Centropomus undecimalis en Campeche","Peces; Ictiologia; Presencia; Estuario Río Campoton, Laguna De Términos"
"133","Campeche","Centropomus undecimalis","Laguna Balcachah, Laguna De Términos","1977","1977","Especimen preservado de Centropomus undecimalis en Campeche","Peces; Ictiologia; Presencia; Laguna Balcachah, Laguna De Términos"
"134","Campeche","Centropomus undecimalis","Palizada Boca Chica, Laguna De Términos","1985","1985","Especimen preservado de Centropomus undecimalis en Campeche","Peces; Ictiologia; Presencia; Palizada Boca Chica, Laguna De Términos"
"135","Campeche","Centropristis ocyurus","Sonda De Campeche Frente A La Laguna De Términos","1981","1981","Especimen preservado de Centropristis ocyurus en Campeche","Peces; Ictiologia; Presencia; Sonda De Campeche Frente A La Laguna De Términos"
"136","Campeche","Cetengraulis edentulus","Sonda De Campeche Frente A La Laguna De Términos","1978","1978","Especimen preservado de Cetengraulis edentulus en Campeche","Peces; Ictiologia; Presencia; Sonda De Campeche Frente A La Laguna De Términos"
"137","Campeche","Chaetodipterus faber","Estero Pargo, Laguna De Términos","1976","1976","Especimen preservado de Chaetodipterus faber en Campeche","Peces; Ictiologia; Presencia; Estero Pargo, Laguna De Términos"
"138","Campeche","Chaetodipterus faber","Laguna De Puerto Rico","1977","1977","Especimen preservado de Chaetodipterus faber en Campeche","Peces; Ictiologia; Presencia; Laguna De Puerto Rico"
"139","Campeche","Chaetodipterus faber","Laguna Pan-Lau","1976","1976","Especimen preservado de Chaetodipterus faber en Campeche","Peces; Ictiologia; Presencia; Laguna Pan-Lau"
"140","Campeche","Chaetodon ocellatus","Laguna De Términos","1981","1981","Especimen preservado de Chaetodon ocellatus en Campeche","Peces; Ictiologia; Presencia; Laguna De Términos"
"141","Campeche","Chaetodon ocellatus","Sonda De Campeche Frente A La Laguna De Términos","1982","1982","Especimen preservado de Chaetodon ocellatus en Campeche","Peces; Ictiologia; Presencia; Sonda De Campeche Frente A La Laguna De Términos"
"142","Campeche","Chilomycterus schoepfii","Estero Pargo, Laguna De Términos","1977","1977","Especimen preservado de Chilomycterus schoepfii en Campeche","Peces; Ictiologia; Presencia; Estero Pargo, Laguna De Términos"
"143","Campeche","Chloroscombrus chrysurus","Frente A  Pan Lau","1978","1978","Especimen preservado de Chloroscombrus chrysurus en Campeche","Peces; Ictiologia; Presencia; Frente A  Pan Lau"
"144","Campeche","Chloroscombrus chrysurus","Frente A  San Julian","1982","1982","Especimen preservado de Chloroscombrus chrysurus en Campeche","Peces; Ictiologia; Presencia; Frente A  San Julian"
"145","Campeche","Chriodorus atherinoides","Boca De Puerto Real, Laguna De Términos","1977","1977","Especimen preservado de Chriodorus atherinoides en Campeche","Peces; Ictiologia; Presencia; Boca De Puerto Real, Laguna De Términos"
"146","Campeche","Chriodorus atherinoides","Laguna De Términos","1979","1979","Especimen preservado de Chriodorus atherinoides en Campeche","Peces; Ictiologia; Presencia; Laguna De Términos"
"147","Campeche","Chromis scotti","Sonda De Campeche Frente A La Laguna De Términos","1983","1983","Especimen preservado de Chromis scotti en Campeche","Peces; Ictiologia; Presencia; Sonda De Campeche Frente A La Laguna De Términos"
"148","Campeche","Cichlasoma meeki","Sistema Palizada, Laguna De Términos","1986","1986","Especimen preservado de Cichlasoma meeki en Campeche","Peces; Ictiologia; Presencia; Sistema Palizada, Laguna De Términos"
"149","Campeche","Cichlasoma pasionis","Río Palizada","1984","1984","Especimen preservado de Cichlasoma pasionis en Campeche","Peces; Ictiologia; Presencia; Río Palizada"
"150","Campeche","Cichlasoma pearsei","Palizada Boca Chica, Laguna De Términos","1986","1986","Especimen preservado de Cichlasoma pearsei en Campeche","Peces; Ictiologia; Presencia; Palizada Boca Chica, Laguna De Términos"
"151","Campeche","Cichlasoma sexfasciatus","Sistema Palizada, Laguna Del Vapor","1986","1986","Especimen preservado de Cichlasoma sexfasciatus en Campeche","Peces; Ictiologia; Presencia; Sistema Palizada, Laguna Del Vapor"
"152","Campeche","Cichlasoma urophthalmus","El Cayo, Laguna De Términos","1977","1977","Especimen preservado de Cichlasoma urophthalmus en Campeche","Peces; Ictiologia; Presencia; El Cayo, Laguna De Términos"
"153","Campeche","Cichlasoma urophthalmus","Pan-Lau, Laguna De Términos","1977","1977","Especimen preservado de Cichlasoma urophthalmus en Campeche","Peces; Ictiologia; Presencia; Pan-Lau, Laguna De Términos"
"154","Campeche","Cichlasoma urophthalmus","Punta Gorda, Laguna De Términos","1976","1976","Especimen preservado de Cichlasoma urophthalmus en Campeche","Peces; Ictiologia; Presencia; Punta Gorda, Laguna De Términos"
"155","Campeche","Citharichthys cornutus","Suroeste De El Cayo, Laguna De Términos","1983","1983","Especimen preservado de Citharichthys cornutus en Campeche","Peces; Ictiologia; Presencia; Suroeste De El Cayo, Laguna De Términos"
"156","Campeche","Citharichthys macrops","Sonda De Campeche Frente A La Laguna De Términos","1978","1978","Especimen preservado de Citharichthys macrops en Campeche","Peces; Ictiologia; Presencia; Sonda De Campeche Frente A La Laguna De Términos"
"157","Campeche","Citharichthys spilopterus","Boca Del Carmen, Laguna De Términos","1979","1979","Especimen preservado de Citharichthys spilopterus en Campeche","Peces; Ictiologia; Presencia; Boca Del Carmen, Laguna De Términos"
"158","Campeche","Conodon nobilis","Sonda De Campeche Frente A La Laguna De Términos","1980","1980","Especimen preservado de Conodon nobilis en Campeche","Peces; Ictiologia; Presencia; Sonda De Campeche Frente A La Laguna De Términos"
"159","Campeche","Cosmocampus elucens","Estero Pargo, Laguna De Términos","1981","1981","Especimen preservado de Cosmocampus elucens en Campeche","Peces; Ictiologia; Presencia; Estero Pargo, Laguna De Términos"
"160","Campeche","Ctenogobius beleosoma","Palizada Boca Chica, Laguna De Términos","1986","1986","Especimen preservado de Ctenogobius beleosoma en Campeche","Peces; Ictiologia; Presencia; Palizada Boca Chica, Laguna De Términos"
"161","Campeche","Cyclopsetta chittendeni","Sonda De Campeche","2008","2008","Especimen preservado de Cyclopsetta chittendeni en Campeche","Peces; Ictiologia; Presencia; Sonda De Campeche"
"162","Campeche","Cyclopsetta chittendeni","Sonda De Campeche Frente A La Laguna De Términos","1982","1982","Especimen preservado de Cyclopsetta chittendeni en Campeche","Peces; Ictiologia; Presencia; Sonda De Campeche Frente A La Laguna De Términos"
"163","Campeche","Cyclopsetta fimbriata","Sonda De Campeche Frente A La Laguna De Términos","1978","1978","Especimen preservado de Cyclopsetta fimbriata en Campeche","Peces; Ictiologia; Presencia; Sonda De Campeche Frente A La Laguna De Términos"
"164","Campeche","Cynoscion arenarius","Sistema Fluvio Deltaico, Río Palizada","1986","1986","Especimen preservado de Cynoscion arenarius en Campeche","Peces; Ictiologia; Presencia; Sistema Fluvio Deltaico, Río Palizada"
"165","Campeche","Cynoscion arenarius","Sonda De Campeche Frente A La Laguna De Términos","1978","1978","Especimen preservado de Cynoscion arenarius en Campeche","Peces; Ictiologia; Presencia; Sonda De Campeche Frente A La Laguna De Términos"
"166","Campeche","Cynoscion nebulosus","Boca De Puerto Real, Laguna De Términos","1981","1981","Especimen preservado de Cynoscion nebulosus en Campeche","Peces; Ictiologia; Presencia; Boca De Puerto Real, Laguna De Términos"
"167","Campeche","Cynoscion nebulosus","Estero Pargo, Laguna De Términos","1977","1977","Especimen preservado de Cynoscion nebulosus en Campeche","Peces; Ictiologia; Presencia; Estero Pargo, Laguna De Términos"
"168","Campeche","Cynoscion nebulosus","Punta Gorda, Laguna De Términos","1981","1981","Especimen preservado de Cynoscion nebulosus en Campeche","Peces; Ictiologia; Presencia; Punta Gorda, Laguna De Términos"
"169","Campeche","Cynoscion nothus","Boca De Atasta, Laguna De Términos","1977","1977","Especimen preservado de Cynoscion nothus en Campeche","Peces; Ictiologia; Presencia; Boca De Atasta, Laguna De Términos"
"170","Campeche","Cynoscion nothus","Laguna Chiltepec","2008","2008","Especimen preservado de Cynoscion nothus en Campeche","Peces; Ictiologia; Presencia; Laguna Chiltepec"
"171","Campeche","Cyprinodon variegatus","El Cayo, Laguna De Términos","1979","1979","Especimen preservado de Cyprinodon variegatus en Campeche","Peces; Ictiologia; Presencia; El Cayo, Laguna De Términos"
