"","P_Venta","P_Menudeo","P_Destino","P_Estado","P_Punto"
"77","Precio de Venta de Camaron medianos con cabeza en el Origen (1998-2016)","Precio de Menudeo de Camaron medianos con cabeza (1998-2016)","Precio de Camaron medianos con cabeza en Destino de Venta (1998-2016)","Precio de Venta de Pescado en  (1998-2016)","Precio de Venta de Pescado en Punto de Cotizacion  (1998-2016)"
"78","Precio de Venta de Camaron p/barybot en el Origen (1998-2016)","Precio de Menudeo de Camaron p/barybot (1998-2016)","Precio de Camaron p/barybot en Destino de Venta (1998-2016)","Precio de Venta de Pescado en  (1998-2016)","Precio de Venta de Pescado en Punto de Cotizacion  (1998-2016)"
"79","Precio de Venta de Camaron Pacotilla en el Origen (1998-2016)","Precio de Menudeo de Camaron Pacotilla (1998-2016)","Precio de Camaron Pacotilla en Destino de Venta (1998-2016)","Precio de Venta de Pescado en  (1998-2016)","Precio de Venta de Pescado en Punto de Cotizacion  (1998-2016)"
"80","Precio de Venta de Camaron roca en el Origen (1998-2016)","Precio de Menudeo de Camaron roca (1998-2016)","Precio de Camaron roca en Destino de Venta (1998-2016)","Precio de Venta de Pescado en  (1998-2016)","Precio de Venta de Pescado en Punto de Cotizacion  (1998-2016)"
"81","Precio de Venta de Camaron sin cabeza coctelero de mar en el Origen (1998-2016)","Precio de Menudeo de Camaron sin cabeza coctelero de mar (1998-2016)","Precio de Camaron sin cabeza coctelero de mar en Destino de Venta (1998-2016)","Precio de Venta de Pescado en  (1998-2016)","Precio de Venta de Pescado en Punto de Cotizacion  (1998-2016)"
"82","Precio de Venta de Camarones 16/20 en el Origen (1998-2016)","Precio de Menudeo de Camarones 16/20 (1998-2016)","Precio de Camarones 16/20 en Destino de Venta (1998-2016)","Precio de Venta de Pescado en  (1998-2016)","Precio de Venta de Pescado en Punto de Cotizacion  (1998-2016)"
"83","Precio de Venta de Camarones 21/25 en el Origen (1998-2016)","Precio de Menudeo de Camarones 21/25 (1998-2016)","Precio de Camarones 21/25 en Destino de Venta (1998-2016)","Precio de Venta de Pescado en  (1998-2016)","Precio de Venta de Pescado en Punto de Cotizacion  (1998-2016)"
"84","Precio de Venta de Camarones 26/30 en el Origen (1998-2016)","Precio de Menudeo de Camarones 26/30 (1998-2016)","Precio de Camarones 26/30 en Destino de Venta (1998-2016)","Precio de Venta de Pescado en  (1998-2016)","Precio de Venta de Pescado en Punto de Cotizacion  (1998-2016)"
"85","Precio de Venta de Camarones 31/35 en el Origen (1998-2016)","Precio de Menudeo de Camarones 31/35 (1998-2016)","Precio de Camarones 31/35 en Destino de Venta (1998-2016)","Precio de Venta de Pescado en  (1998-2016)","Precio de Venta de Pescado en Punto de Cotizacion  (1998-2016)"
"86","Precio de Venta de Camarones 41/50 en el Origen (1998-2016)","Precio de Menudeo de Camarones 41/50 (1998-2016)","Precio de Camarones 41/50 en Destino de Venta (1998-2016)","Precio de Venta de Pescado en  (1998-2016)","Precio de Venta de Pescado en Punto de Cotizacion  (1998-2016)"
"87","Precio de Venta de Camarones 51/60 en el Origen (1998-2016)","Precio de Menudeo de Camarones 51/60 (1998-2016)","Precio de Camarones 51/60 en Destino de Venta (1998-2016)","Precio de Venta de Pescado en  (1998-2016)","Precio de Venta de Pescado en Punto de Cotizacion  (1998-2016)"
"88","Precio de Venta de Camarones botalon en el Origen (1998-2016)","Precio de Menudeo de Camarones botalon (1998-2016)","Precio de Camarones botalon en Destino de Venta (1998-2016)","Precio de Venta de Pescado en  (1998-2016)","Precio de Venta de Pescado en Punto de Cotizacion  (1998-2016)"
"89","Precio de Venta de Camarones U10 en el Origen (1998-2016)","Precio de Menudeo de Camarones U10 (1998-2016)","Precio de Camarones U10 en Destino de Venta (1998-2016)","Precio de Venta de Pescado en  (1998-2016)","Precio de Venta de Pescado en Punto de Cotizacion  (1998-2016)"
"90","Precio de Venta de Camarones U12 en el Origen (1998-2016)","Precio de Menudeo de Camarones U12 (1998-2016)","Precio de Camarones U12 en Destino de Venta (1998-2016)","Precio de Venta de Pescado en  (1998-2016)","Precio de Venta de Pescado en Punto de Cotizacion  (1998-2016)"
"91","Precio de Venta de Camarones U15 en el Origen (1998-2016)","Precio de Menudeo de Camarones U15 (1998-2016)","Precio de Camarones U15 en Destino de Venta (1998-2016)","Precio de Venta de Pescado en  (1998-2016)","Precio de Venta de Pescado en Punto de Cotizacion  (1998-2016)"
"92","Precio de Venta de Cola de langosta en el Origen (1998-2016)","Precio de Menudeo de Cola de langosta (1998-2016)","Precio de Cola de langosta en Destino de Venta (1998-2016)","Precio de Venta de Pescado en  (1998-2016)","Precio de Venta de Pescado en Punto de Cotizacion  (1998-2016)"
"93","Precio de Venta de Chacal en el Origen (1998-2016)","Precio de Menudeo de Chacal (1998-2016)","Precio de Chacal en Destino de Venta (1998-2016)","Precio de Venta de Pescado en  (1998-2016)","Precio de Venta de Pescado en Punto de Cotizacion  (1998-2016)"
"94","Precio de Venta de Jaiba en pulpa en el Origen (1998-2016)","Precio de Menudeo de Jaiba en pulpa (1998-2016)","Precio de Jaiba en pulpa en Destino de Venta (1998-2016)","Precio de Venta de Pescado en  (1998-2016)","Precio de Venta de Pescado en Punto de Cotizacion  (1998-2016)"
"95","Precio de Venta de Jaiba entera en el Origen (1998-2016)","Precio de Menudeo de Jaiba entera (1998-2016)","Precio de Jaiba entera en Destino de Venta (1998-2016)","Precio de Venta de Pescado en  (1998-2016)","Precio de Venta de Pescado en Punto de Cotizacion  (1998-2016)"
"96","Precio de Venta de Langosta en el Origen (1998-2016)","Precio de Menudeo de Langosta (1998-2016)","Precio de Langosta en Destino de Venta (1998-2016)","Precio de Venta de Pescado en  (1998-2016)","Precio de Venta de Pescado en Punto de Cotizacion  (1998-2016)"
