area_name,area_type,data_layer,uncertainty_score,year,scientific_name,common_name,functional_group,commercial_group,fishing_entity,fishing_sector,catch_type,reporting_status,tonnes,landed_value
Mexico (Pacific),eez,Assigned Tuna RFMO catch,,1995,Thunnus alalunga,Albacore,Large pelagics (>=90 cm),Tuna & billfishes,Unknown Fishing Country,Industrial,Landings,Reported,322.2487254,472416.6315
Mexico (Pacific),eez,Assigned Tuna RFMO catch,,1996,Thunnus alalunga,Albacore,Large pelagics (>=90 cm),Tuna & billfishes,Unknown Fishing Country,Industrial,Landings,Reported,55.12355953,80811.13827
Mexico (Pacific),eez,Assigned Tuna RFMO catch,,1997,Thunnus alalunga,Albacore,Large pelagics (>=90 cm),Tuna & billfishes,Mexico,Industrial,Landings,Reported,0.015818665,23.19016305
Mexico (Pacific),eez,Assigned Tuna RFMO catch,,1997,Thunnus alalunga,Albacore,Large pelagics (>=90 cm),Tuna & billfishes,Unknown Fishing Country,Industrial,Landings,Reported,35.02466203,51346.15453
Mexico (Pacific),eez,Assigned Tuna RFMO catch,,1998,Thunnus alalunga,Albacore,Large pelagics (>=90 cm),Tuna & billfishes,Mexico,Industrial,Landings,Reported,2.07704468,3044.947501
Mexico (Pacific),eez,Assigned Tuna RFMO catch,,1998,Thunnus alalunga,Albacore,Large pelagics (>=90 cm),Tuna & billfishes,Unknown Fishing Country,Industrial,Landings,Reported,77.47109127,113572.6198
Mexico (Pacific),eez,Assigned Tuna RFMO catch,,1999,Thunnus alalunga,Albacore,Large pelagics (>=90 cm),Tuna & billfishes,Mexico,Industrial,Landings,Reported,210.3912665,308433.5967
Mexico (Pacific),eez,Assigned Tuna RFMO catch,,1999,Thunnus alalunga,Albacore,Large pelagics (>=90 cm),Tuna & billfishes,Unknown Fishing Country,Industrial,Landings,Reported,3.602384227,5281.095277
Mexico (Pacific),eez,Assigned Tuna RFMO catch,,2000,Thunnus alalunga,Albacore,Large pelagics (>=90 cm),Tuna & billfishes,Mexico,Industrial,Landings,Reported,2.850824351,4179.308498
Mexico (Pacific),eez,Assigned Tuna RFMO catch,,2000,Thunnus alalunga,Albacore,Large pelagics (>=90 cm),Tuna & billfishes,Unknown Fishing Country,Industrial,Landings,Reported,0.16464745,241.3731614
Mexico (Pacific),eez,Assigned Tuna RFMO catch,,2001,Thunnus alalunga,Albacore,Large pelagics (>=90 cm),Tuna & billfishes,Mexico,Industrial,Landings,Reported,14.7734095,21657.81833
Mexico (Pacific),eez,Assigned Tuna RFMO catch,,2001,Thunnus alalunga,Albacore,Large pelagics (>=90 cm),Tuna & billfishes,Unknown Fishing Country,Industrial,Landings,Reported,82.69539121,121231.4435
Mexico (Pacific),eez,Assigned Tuna RFMO catch,,2002,Thunnus alalunga,Albacore,Large pelagics (>=90 cm),Tuna & billfishes,Mexico,Industrial,Landings,Reported,1.245656143,1826.131906
Mexico (Pacific),eez,Assigned Tuna RFMO catch,,2002,Thunnus alalunga,Albacore,Large pelagics (>=90 cm),Tuna & billfishes,Unknown Fishing Country,Industrial,Landings,Reported,257.8213659,377966.1223
Mexico (Pacific),eez,Assigned Tuna RFMO catch,,2003,Thunnus alalunga,Albacore,Large pelagics (>=90 cm),Tuna & billfishes,Mexico,Industrial,Landings,Reported,3.490958673,5117.745414
Mexico (Pacific),eez,Assigned Tuna RFMO catch,,2003,Thunnus alalunga,Albacore,Large pelagics (>=90 cm),Tuna & billfishes,Unknown Fishing Country,Industrial,Landings,Reported,61.32479954,89902.15612
Mexico (Pacific),eez,Assigned Tuna RFMO catch,,2004,Thunnus alalunga,Albacore,Large pelagics (>=90 cm),Tuna & billfishes,Mexico,Industrial,Landings,Reported,7.655280599,11222.64136
Mexico (Pacific),eez,Assigned Tuna RFMO catch,,2004,Thunnus alalunga,Albacore,Large pelagics (>=90 cm),Tuna & billfishes,Unknown Fishing Country,Industrial,Landings,Reported,123.8601419,181578.9681
Mexico (Pacific),eez,Assigned Tuna RFMO catch,,2005,Thunnus alalunga,Albacore,Large pelagics (>=90 cm),Tuna & billfishes,Mexico,Industrial,Landings,Reported,0.331530688,486.0239892
Mexico (Pacific),eez,Assigned Tuna RFMO catch,,2005,Thunnus alalunga,Albacore,Large pelagics (>=90 cm),Tuna & billfishes,Unknown Fishing Country,Industrial,Landings,Reported,57.0907039,83694.97191
Mexico (Pacific),eez,Assigned Tuna RFMO catch,,2006,Thunnus alalunga,Albacore,Large pelagics (>=90 cm),Tuna & billfishes,Mexico,Industrial,Landings,Reported,7.764577538,11382.87067
Mexico (Pacific),eez,Assigned Tuna RFMO catch,,2006,Thunnus alalunga,Albacore,Large pelagics (>=90 cm),Tuna & billfishes,Unknown Fishing Country,Industrial,Landings,Reported,3.614937252,5299.498012
Mexico (Pacific),eez,Assigned Tuna RFMO catch,,2007,Thunnus alalunga,Albacore,Large pelagics (>=90 cm),Tuna & billfishes,Mexico,Industrial,Landings,Reported,32.94765337,48301.25984
Mexico (Pacific),eez,Assigned Tuna RFMO catch,,2007,Thunnus alalunga,Albacore,Large pelagics (>=90 cm),Tuna & billfishes,Unknown Fishing Country,Industrial,Landings,Reported,1.367972593,2005.447821
Mexico (Pacific),eez,Assigned Tuna RFMO catch,,2008,Thunnus alalunga,Albacore,Large pelagics (>=90 cm),Tuna & billfishes,Mexico,Industrial,Landings,Reported,1051.719328,1541820.535
Mexico (Pacific),eez,Assigned Tuna RFMO catch,,2009,Thunnus alalunga,Albacore,Large pelagics (>=90 cm),Tuna & billfishes,Mexico,Industrial,Landings,Reported,1618.211584,2372298.182
Mexico (Pacific),eez,Assigned Tuna RFMO catch,,2009,Thunnus alalunga,Albacore,Large pelagics (>=90 cm),Tuna & billfishes,Unknown Fishing Country,Industrial,Landings,Reported,0.165046688,241.9584447
Mexico (Pacific),eez,Assigned Tuna RFMO catch,,2010,Thunnus alalunga,Albacore,Large pelagics (>=90 cm),Tuna & billfishes,Mexico,Industrial,Landings,Reported,1845.12435,2704952.297
Mexico (Pacific),eez,Assigned Tuna RFMO catch,,2010,Thunnus alalunga,Albacore,Large pelagics (>=90 cm),Tuna & billfishes,Unknown Fishing Country,Industrial,Landings,Reported,2.405466019,3526.413184
